"Y","dash","maha","risk10","N_model","Events_model","N_group","Events_group","adjustment","model","prediction","time_origin"
"death","low","low",2.77988207708828,128562,9853,16169,1428,"age.landmark; sex.f; center; tdi; PC1; PC2; bmi.pts; bp.pts; nonhdl.pts; smoke.pts; pa.pts; sleep.pts","Cox; DASH * MAHA interaction","Fixed profile: numeric means; categorical modes in model sample","End of all recorded WebQ assessments (or enrolment if later)"
"death","low","middle",2.85957905904852,128562,9853,12604,1057,"age.landmark; sex.f; center; tdi; PC1; PC2; bmi.pts; bp.pts; nonhdl.pts; smoke.pts; pa.pts; sleep.pts","Cox; DASH * MAHA interaction","Fixed profile: numeric means; categorical modes in model sample","End of all recorded WebQ assessments (or enrolment if later)"
"death","low","high",2.64545715891313,128562,9853,1461,114,"age.landmark; sex.f; center; tdi; PC1; PC2; bmi.pts; bp.pts; nonhdl.pts; smoke.pts; pa.pts; sleep.pts","Cox; DASH * MAHA interaction","Fixed profile: numeric means; categorical modes in model sample","End of all recorded WebQ assessments (or enrolment if later)"
"death","middle","low",2.44720422478315,128562,9853,13325,1140,"age.landmark; sex.f; center; tdi; PC1; PC2; bmi.pts; bp.pts; nonhdl.pts; smoke.pts; pa.pts; sleep.pts","Cox; DASH * MAHA interaction","Fixed profile: numeric means; categorical modes in model sample","End of all recorded WebQ assessments (or enrolment if later)"
"death","middle","middle",2.44316818554484,128562,9853,37363,2854,"age.landmark; sex.f; center; tdi; PC1; PC2; bmi.pts; bp.pts; nonhdl.pts; smoke.pts; pa.pts; sleep.pts","Cox; DASH * MAHA interaction","Fixed profile: numeric means; categorical modes in model sample","End of all recorded WebQ assessments (or enrolment if later)"
"death","middle","high",2.38304377340269,128562,9853,14000,951,"age.landmark; sex.f; center; tdi; PC1; PC2; bmi.pts; bp.pts; nonhdl.pts; smoke.pts; pa.pts; sleep.pts","Cox; DASH * MAHA interaction","Fixed profile: numeric means; categorical modes in model sample","End of all recorded WebQ assessments (or enrolment if later)"
"death","high","low",2.03972180366881,128562,9853,1431,105,"age.landmark; sex.f; center; tdi; PC1; PC2; bmi.pts; bp.pts; nonhdl.pts; smoke.pts; pa.pts; sleep.pts","Cox; DASH * MAHA interaction","Fixed profile: numeric means; categorical modes in model sample","End of all recorded WebQ assessments (or enrolment if later)"
"death","high","middle",2.20063470220371,128562,9853,14522,1038,"age.landmark; sex.f; center; tdi; PC1; PC2; bmi.pts; bp.pts; nonhdl.pts; smoke.pts; pa.pts; sleep.pts","Cox; DASH * MAHA interaction","Fixed profile: numeric means; categorical modes in model sample","End of all recorded WebQ assessments (or enrolment if later)"
"death","high","high",2.32530286456831,128562,9853,17687,1166,"age.landmark; sex.f; center; tdi; PC1; PC2; bmi.pts; bp.pts; nonhdl.pts; smoke.pts; pa.pts; sleep.pts","Cox; DASH * MAHA interaction","Fixed profile: numeric means; categorical modes in model sample","End of all recorded WebQ assessments (or enrolment if later)"
