"term","estimate","std.error","conf.low","conf.high","statistic","p.value","N_total","N_event","Outcome","Exposure","Model_Type","error"
"diet.maha.pts",0.967408863488798,0.01078644166392,0.947171141843001,0.988078994188588,-3.07182456382544,0.00212754727412311,128562,9853,"death","diet.maha.pts","t2e",NA
"diet.dash.pts",0.910799539140525,0.0105477148384387,0.892163406648014,0.929824956187514,-8.85807515826466,8.14078265532044e-19,128562,9853,"death","diet.dash.pts","t2e",NA
"diet.mind.pts",0.935354423998436,0.0107698890961176,0.91581697699306,0.955308670260735,-6.20524109611084,5.46131117760763e-10,128562,9853,"death","diet.mind.pts","t2e",NA
"diet.medi24.pts",0.923303833451366,0.0105641466929684,0.904382719568372,0.942620806900035,-7.55356022867592,4.23518524136339e-14,128562,9853,"death","diet.medi24.pts","t2e",NA
